id,language,key,value,created_at,updated_at
f0b7bfa8-2f4e-4201-9af9-966e64462da0,pt-BR,subcategories.design,Design,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
f0ec9997-17b0-49d2-bb83-7edd83650b48,en,ui.copied,Copied!,2025-03-11 15:35:51.393939+00,2025-03-11 15:35:51.393939+00
f10fc121-373c-4a84-abac-b79ba7d22582,en,editProfile.errors.title,Error Loading Profile,2025-03-10 22:35:19.634073+00,2025-03-10 22:35:19.634073+00
f13c14d3-d562-4894-bd8f-7486df8d1e16,pt,common.favorites,Favoritos,2025-03-10 20:53:46.593206+00,2025-03-10 20:53:46.593206+00
f1a4789a-a86d-42ad-a93e-f81aa0390562,pt-BR,tags.ai,ia,2025-03-11 18:20:36.101134+00,2025-03-11 18:20:36.101134+00
f2b01c28-3868-49b3-93a6-5d546153a2fa,pt-BR,comments.signInToComment,Faça login para comentar,2025-03-11 18:47:58.506637+00,2025-03-11 18:47:58.506637+00
f2f3e68d-842e-4f0e-8b74-a3900f04eeb1,en,common.home,Home,2025-03-10 20:53:46.593206+00,2025-03-10 22:17:57.773514+00
f2f67cfe-3bef-4c04-a1c9-c63a453244b9,en,ui.edit,Edit,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
f338114c-36bf-405c-9cd0-06803db45392,en,software.premiere,Premiere,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
f369f59a-a39c-4dd2-84d9-fea160268bb4,pt-BR,status.title,Status do Sistema,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
f431761c-187a-401a-abb5-708f5522879d,en,tags.adobe,adobe,2025-03-11 18:47:58.506637+00,2025-03-11 18:47:58.506637+00
f4cd818a-a1b4-4975-9aa1-b9bab7e36940,pt-BR,resource.like,Curtir,2025-03-10 21:25:23.910641+00,2025-03-10 22:17:57.773514+00
f4f90e42-a5ac-4757-aa37-35ca0d6509a5,en,home.filters.activeLabel,Active filters,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
f57eb037-f63c-4e1d-b908-beeb9e84fde6,pt-BR,resource.saved,Salvo,2025-03-10 21:25:23.910641+00,2025-03-10 22:17:57.773514+00
f5c9a45c-a9f1-4752-b2d0-cb0d7ba8d723,pt-BR,software.cursor,Cursor,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
f5cd55a3-8563-4190-9278-2368149cbe36,en,common.signOut,Sign Out,2025-03-10 20:53:46.593206+00,2025-03-10 22:17:57.773514+00
f60562fc-9513-41be-8b40-8102c1722818,en,home.filters.noTags,No tags available,2025-03-11 18:20:36.101134+00,2025-03-11 18:20:36.101134+00
f616ba70-f28d-4d7f-a111-f0f3278d1177,pt-BR,home.search.placeholder,"Pesquisar recursos, ferramentas ou inspiração...",2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
f6ad0489-4e86-4666-9009-a6000a2357ec,pt-BR,software.photoshop,Photoshop,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
f71b2044-755b-4dce-b731-4b8d2789ef92,pt-BR,subcategories.fonts,Fontes,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
f71f02f3-2165-4d78-a60b-e0d14281c0e2,en,software.blender,Blender,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
f723f830-bec7-469d-b048-952fd174da83,en,resource.removedFromFavorites,Removed from favorites,2025-03-10 21:25:23.910641+00,2025-03-10 22:17:57.773514+00
f7b0a645-bdda-4ec9-acbd-eb93b54bdb3e,en,subcategories.3d,3D,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
f81f9099-275c-475c-af65-9718dbb0b301,pt-BR,home.filters.selectedFilters,Filtros selecionados,2025-03-11 18:20:36.101134+00,2025-03-11 18:20:36.101134+00
f82bd2ba-7bc1-45d9-b7a3-ae8fd09a20bf,en,tags.after-effects,after-effects,2025-03-11 18:47:58.506637+00,2025-03-11 18:47:58.506637+00
f84182ba-1c0f-425a-be67-3d46f8859bf5,en,ui.none,None,2025-03-11 15:35:51.393939+00,2025-03-11 15:35:51.393939+00
f857a223-b55c-4e28-9ce3-a94fc7eac845,en,profile.signOut.button,Sign Out,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
f8c80e0d-68a2-451d-8f46-2121afc7572c,pt-BR,profile.title,Perfil,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
